coral,tank,treat,pco2,temp,T0_T90,reef,species,fpco2,ftemp,colony,SA,den,pro,chla,sum_bw5,red_bw1,green_bw1,blue_bw1,sum_bw1,red_bw2,green_bw2,blue_bw2,sum_bw2,red_bw3,green_bw3,blue_bw3,sum_bw3,red_bw4,green_bw4,blue_bw4,sum_bw4,red_bw5,green_bw5,blue_bw5,rate,carb,lipid
CFPD8,2800_28_2,3285_28,3285,28,T90,F,P,2800,28,PD_F,7.965,1042102.62,0.435,26.12864,328.75,101,70.35,16.8,188.15,78.85,52.6,16.35,147.8,108.2,75.6,30.5,214.3,121.3,90.4,34.15,245.85,155.3,123.1,50.35,-0.201,0.955771111,1.043987613
CFPD9,700_28_2,673_28,673,28,T90,F,P,700,28,PD_F,7.055,576828.5768,0.248,13.85344,303.75,121.65,84.05,15.75,221.45,95.3,66.7,21.25,183.25,118.8,86.25,27.8,232.85,111.75,78.35,24.65,214.75,151.9,117,34.85,0.154,0.352749652,0.065683866
CFPE10,280_28_1,288_28,288,28,T90,F,P,280,28,PE_F,11.543,378400.231,0.398,25.4272,340,130.3,97.4,19.7,247.4,134.25,102.5,35.35,272.1,135.5,103.3,33.35,272.15,148,118.05,40.3,306.35,163.25,133.65,43.1,-1.232,0.443536529,0.382735528
CFPE12,700_28_2,673_28,673,28,T90,F,P,700,28,PE_F,13.964,332855.9152,0.048,20.69248,219.2,163.3,131.65,43.7,338.65,121.1,89.95,27.7,238.75,145.4,108.55,30.95,284.9,113.2,80.55,18.7,212.45,118.95,87.2,13.05,-0.059,0.130963256,0.011040476
CFPE13,400_28,447_28,447,28,T0,F,P,T0,T0,PE_F,8.785333333,1193261.496,0.389,6.04992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627460006,0.081611545
CFPE14,280_28_2,288_28,288,28,T90,F,P,280,28,PE_F,8.052,1384930.656,0.411,107.8464,201,147.35,109.3,9.95,266.6,111.65,78.1,19.3,209.05,105.85,74.6,27.65,208.1,95.3,67,18.45,180.75,107.9,78.15,14.95,-0.39,0.43336822,0.277998049
CFPE2,280_28_3,288_28,288,28,T90,F,P,280,28,PE_F,10.804,741184.0928,0.227,30.33728,272.3,136.2,108.1,30.35,274.65,146.55,114,45.3,305.85,133.45,100,38.4,271.85,114.65,82,18.7,215.35,140,107.3,25,-0.945,0.28637787,0.087067659
CFPE40,2800_28_1,3285_28,3285,28,T90,F,P,2800,28,PE_F,9.408,775821.1388,0.252,33.84448,286.65,134.8,103.2,23.8,261.8,103.1,78.45,30.2,211.75,135.7,106.35,44.55,286.6,140.1,105.6,32.05,277.75,141.05,110.45,35.15,-0.912,0.370696471,NA
CFPE42,2800_28_1,3285_28,3285,28,T90,F,P,2800,28,PE_F,9.626,1302721.795,0.41,77.68448,288.8,165.2,129.15,23.25,317.6,121.1,88.5,27.5,237.1,131.15,101.65,43.25,276.05,102,77.45,33.85,213.3,132.95,109.05,46.8,0.089,0.599661849,0.015049067
CFPE6,700_28_3,673_28,673,28,T90,F,P,700,28,PE_F,10.186,1078868.999,0.282,51.20512,195.9,134.15,102.7,25.55,262.4,105.6,78.4,25.95,209.95,98.4,73.65,47.1,219.15,105.55,72.95,17.25,195.75,108.3,76.7,10.9,0.501,0.296192129,0.139318444
